Rang,Tendance,Volume normalisé,Variation hebdomadaire,Variation mensuelle,Variation annuelle,2024-08-13,2024-08-20,2024-08-27,2024-09-03,2024-09-10,2024-09-17,2024-09-24,2024-10-01,2024-10-08,2024-10-15,2024-10-22,2024-10-29,2024-11-05,2024-11-12,2024-11-19,2024-11-26,2024-12-03,2024-12-10,2024-12-17,2024-12-24,2024-12-31,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12
22,ongle été,14,"-20 %","-40 %","70 %",22,11,6,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,5,6,7,9,8,10,14,24,24,19,26,33,30,37,38,45,44,65,76,100,91,73,57,54,46,35
23,tresses africaines,14,"-5 %","1 %","-3 %",100,88,82,93,45,43,41,43,44,41,41,45,56,39,35,39,37,41,42,49,45,54,38,40,44,45,45,53,61,54,46,42,48,54,54,53,60,62,63,57,55,59,69,66,70,75,88,89,93,81,83,92,87
24,ongles d'automne,13,"100 %","600 %","20 %",0,8,8,14,46,60,67,87,100,93,60,60,78,74,68,53,30,18,12,9,7,9,12,10,7,7,7,8,9,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,nails tendance,13,"1 %","-10 %","-9 %",61,59,59,61,53,51,43,47,52,54,46,41,42,45,42,39,35,34,38,38,37,53,75,68,61,67,66,76,82,100,74,53,44,48,45,41,26,44,39,37,40,40,34,33,33,31,31,29,22,25,26,25,25
26,coiffure cheveux bouclés,12,"4 %","-20 %","9 %",79,81,73,99,86,87,90,84,85,80,66,58,60,68,70,70,72,70,75,92,71,52,66,76,82,80,74,74,73,70,80,84,82,84,71,75,71,77,80,81,95,97,90,98,94,100,83,69,71,63,68,69,72
27,coupe de cheveux homme,12,"20 %","-10 %","10 %",78,75,86,95,73,73,71,69,75,73,68,70,72,73,76,72,73,85,84,90,67,66,73,82,84,85,88,84,86,84,84,80,83,95,95,81,75,76,83,83,87,89,86,89,100,89,91,87,84,75,80,68,83
28,balayage cheveux bruns,11,"-6 %","4 %","-10 %",80,90,100,86,77,70,62,61,63,63,57,56,50,55,59,56,58,64,62,56,47,45,52,58,59,61,62,62,73,68,68,69,72,77,77,73,68,74,75,78,79,80,76,76,75,72,70,76,80,77,80,79,74
29,tresse,11,"1 %","0 %","40 %",77,72,67,69,49,51,49,53,51,50,48,46,49,42,41,45,43,48,44,56,44,47,42,46,50,51,53,57,62,58,55,54,55,64,63,67,73,73,71,69,68,74,80,78,78,89,98,98,100,89,92,98,99
30,coiffure cheveux court,11,"0 %","-10 %","-20 %",76,78,79,100,81,78,73,71,66,64,60,57,58,59,61,59,61,62,64,87,63,49,55,62,67,68,69,69,74,71,67,66,71,81,69,45,65,71,68,69,76,81,76,83,84,85,77,71,71,64,71,73,72
31,butterfly haircut,10,"-1 %","20 %","8 %",69,84,100,95,66,74,59,59,62,57,54,60,52,52,55,54,58,63,62,68,58,52,57,58,59,60,62,60,54,54,51,48,51,50,51,56,57,50,45,47,49,47,49,48,47,44,48,51,50,52,59,63,62
32,hairstyles,10,"4 %","-10 %","100 %",39,42,53,86,79,78,73,74,73,77,76,67,71,70,73,78,79,78,79,84,73,68,70,79,84,86,83,83,90,86,91,91,96,99,97,93,86,93,87,87,96,90,85,89,96,100,90,78,77,75,74,79,82
33,coupe courte femme,10,"-6 %","-20 %","-10 %",67,67,75,70,72,68,67,69,67,65,59,60,58,64,67,61,68,75,78,69,49,50,62,66,65,69,71,69,72,67,44,62,67,77,80,73,65,76,78,78,80,88,85,88,100,85,82,75,69,63,68,68,64
34,ongles tendance,10,"1 %","-1 %","-80 %",41,40,51,100,75,62,64,58,62,63,60,59,61,54,29,28,22,21,24,22,22,33,38,33,26,27,27,32,23,36,33,30,32,38,48,34,31,40,53,59,59,55,49,47,50,44,40,35,25,30,35,44,44
35,braids,10,"-1 %","0 %","0 %",81,83,90,100,50,52,49,54,49,48,49,59,66,46,43,47,47,48,48,58,60,68,46,49,49,51,53,57,63,59,53,48,52,58,61,64,74,79,67,62,62,64,73,69,75,69,83,71,80,71,76,79,78
36,coupe de cheveux,10,"-2 %","10 %","-4 %",76,89,100,96,79,82,76,79,79,72,69,64,59,73,72,58,61,71,72,66,52,53,60,61,68,71,59,66,66,70,68,65,63,58,56,54,54,52,50,57,55,55,52,57,53,54,54,56,58,57,64,68,66
37,balayage caramel,9,"0 %","9 %","-20 %",82,88,100,70,63,63,58,57,61,57,52,50,44,48,53,51,47,52,51,51,41,39,45,48,48,51,51,51,54,51,55,58,60,68,64,68,66,70,62,61,62,64,62,66,64,61,62,71,78,70,72,74,74
