Rang,Tendance,Variation hebdomadaire,Variation mensuelle,Variation annuelle,2024-08-13,2024-08-20,2024-08-27,2024-09-03,2024-09-10,2024-09-17,2024-09-24,2024-10-01,2024-10-08,2024-10-15,2024-10-22,2024-10-29,2024-11-05,2024-11-12,2024-11-19,2024-11-26,2024-12-03,2024-12-10,2024-12-17,2024-12-24,2024-12-31,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12
22,halloween nails,"40 %","200 %","60 %",4,4,8,13,23,33,49,66,84,100,92,73,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,3,3,4,5
23,ongle noël,"10 %","200 %","40 %",1,1,1,1,2,2,9,4,4,9,8,8,15,32,37,50,73,92,100,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
24,coiffure pour la plage,"50 %","-2 %","-40 %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,dark red nails,"10 %","40 %","-8 %",41,58,56,67,69,83,95,100,91,82,73,57,58,53,61,58,55,58,61,63,50,46,53,60,49,46,47,40,32,33,29,35,25,19,19,21,22,26,20,22,20,23,19,24,24,20,21,21,25,24,26,36,40
26,ongle hiver,"20 %","200 %","100 %",3,4,5,6,13,21,18,24,26,26,30,32,45,64,79,100,88,82,81,78,54,76,77,71,49,69,58,42,39,22,11,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5
27,nails brown,"-3 %","50 %","100 %",7,12,17,20,29,45,49,53,100,62,39,36,35,41,38,35,25,28,31,26,26,28,35,35,24,31,26,28,25,20,18,20,17,15,14,12,11,11,12,15,11,12,10,13,12,8,11,11,11,12,13,19,18
28,manucure noire,"40 %","30 %","-5 %",9,14,16,18,27,28,36,44,44,51,73,51,46,42,40,39,33,33,51,74,74,87,100,86,66,67,61,54,57,48,43,39,20,20,19,14,12,15,11,13,10,10,10,12,8,7,7,7,6,9,7,10,14
29,french noir,"-1 %","20 %","-30 %",42,48,57,65,68,77,74,86,95,99,95,95,98,92,93,79,72,73,75,79,78,81,100,93,74,74,67,69,60,51,48,47,40,44,41,32,35,33,28,32,26,30,26,29,24,23,27,26,25,23,30,37,36
30,ongles hiver,"10 %","100 %","70 %",2,3,4,4,32,14,15,16,19,21,23,25,36,49,71,93,97,96,97,77,56,88,100,76,48,39,38,30,24,10,6,7,3,2,1,1,0,0,0,0,0,1,0,0,1,1,1,1,2,2,2,3,3
31,ongle gris,"50 %","30 %","-40 %",20,20,32,41,51,57,64,62,63,56,61,62,72,70,75,61,50,33,40,42,44,80,100,75,55,58,46,49,55,41,35,31,24,22,18,16,18,20,12,17,13,12,10,10,7,11,9,11,10,9,14,11,17
32,peekaboo braids,"40 %","10 %","-30 %",54,58,100,91,19,19,16,21,24,21,26,46,59,24,18,20,21,23,16,32,29,46,21,16,20,16,15,26,33,34,20,14,14,16,22,25,34,43,22,30,18,28,31,22,19,20,27,35,28,26,26,31,42
